Tamanho DuraçãoMédia(ms) MédiaValorTotalSoluções MédiaEnergiaTotalSoluções
10 0,10 2348,10 1244,60
11 0,00 2559,40 1314,00
12 0,00 2951,10 1456,90
13 0,00 3078,30 1571,20
14 0,00 3202,50 1516,30
15 0,00 3234,60 1587,90
16 0,00 3403,30 1653,00
17 0,00 3505,50 1712,00
18 0,00 3702,30 1805,00
19 0,00 3893,30 1863,50
20 0,00 4168,70 1937,40
21 0,00 4272,20 2002,30
22 0,00 4454,90 2165,90
23 0,00 4568,30 2171,50
24 0,00 4666,40 2115,00
25 0,00 5051,60 2362,50
26 0,00 5206,30 2402,20
27 0,00 5309,40 2434,50
28 0,10 5456,20 2461,60
29 0,00 5683,20 2600,50
30 0,00 5732,70 2537,00
31 0,00 5971,70 2713,60
32 0,00 6093,40 2745,20
33 0,00 6390,80 2889,70
34 0,00 6382,30 2788,50
35 0,00 6622,90 2916,50
36 0,00 6620,90 2834,70
37 0,00 6753,50 2952,80
38 0,00 6974,20 3063,30
39 0,00 7207,80 3142,50
40 0,10 7466,40 3270,50
41 0,00 7668,70 3295,20
42 0,00 8076,30 3421,60
43 0,00 8263,00 3543,90
44 0,00 8511,40 3586,20
45 0,00 8511,40 3586,20
46 0,00 8768,70 3602,80
47 0,00 8851,20 3680,60
48 0,00 8953,10 3620,90
49 0,10 9219,10 3774,70
50 0,00 9384,70 3834,50
51 0,00 9405,90 3857,40
52 0,10 9666,80 3907,20
53 0,00 9942,40 4038,00
54 0,10 10087,90 4131,90
55 0,00 10180,70 4169,60
56 0,00 10272,30 4191,60
57 0,00 10442,00 4278,40
58 0,20 10711,90 4338,90
59 0,10 11119,10 4458,90
60 0,00 11304,30 4630,60
61 0,00 11541,00 4685,70
62 0,00 11671,00 4827,10
63 0,00 11814,40 4920,80
64 0,00 12013,60 5037,70
65 0,00 12162,50 4979,10
66 0,00 12321,50 5018,00
67 0,00 12481,30 4937,70
68 0,10 12705,50 5138,90
69 0,00 13010,40 5198,60
70 0,00 13025,30 5140,80
71 0,00 13292,80 5359,50
72 0,00 13433,50 5468,70
73 0,00 13672,40 5537,00
74 0,00 13844,30 5602,30
75 0,00 14179,10 5798,60
76 0,00 14209,60 5739,70
77 0,00 14357,50 5904,00
78 0,00 14569,90 5961,70
79 0,10 14532,60 5951,70
80 0,00 14758,50 6115,50
81 0,10 15036,20 6166,60
82 0,00 15092,90 6161,10
83 0,10 15144,00 6235,00
84 0,00 15328,10 6252,30
85 0,10 15442,10 6237,60
86 0,00 15625,30 6328,80
87 0,10 15784,20 6390,20
88 0,00 15994,70 6527,50
89 0,00 16177,00 6414,20
90 0,10 16467,00 6512,40
91 0,10 16641,40 6591,50
92 0,00 17031,80 6764,10
93 0,00 17376,60 6955,20
94 0,00 17598,30 7080,90
95 0,10 17639,10 7028,60
96 0,00 17819,50 7151,50
97 0,10 18039,80 7214,60
98 0,00 18316,60 7458,20
99 0,00 18612,90 7421,00
100 0,10 18842,70 7474,50
101 0,10 19142,00 7563,60
102 0,10 19281,70 7581,10
103 0,20 19551,90 7738,90
104 0,20 19675,60 7803,30
105 0,00 19954,40 7919,70
106 0,10 20194,10 8018,60
107 0,10 20250,00 7979,30
108 0,10 20322,50 8010,00
109 0,10 20575,40 8100,20
110 0,00 20789,40 8184,60
111 0,10 20974,00 8213,30
112 0,10 21160,70 8388,70
113 0,10 21337,40 8410,10
114 0,10 21480,20 8474,80
115 0,10 21676,60 8533,10
116 0,10 21822,00 8667,60
117 0,00 22040,50 8724,60
118 0,00 22163,60 8774,10
119 0,00 22372,50 8917,80
120 0,00 22619,70 8909,10
121 0,00 22920,60 9106,40
122 0,20 23297,30 9150,00
123 0,00 23472,60 9179,30
124 0,00 23723,70 9369,70
125 0,00 24104,60 9512,00
126 0,00 24259,80 9637,60
127 0,10 24496,50 9651,00
128 0,00 24761,70 9771,50
129 0,20 25045,50 9849,30
130 0,00 25288,30 10050,30
