Tamanho DuraçãoMédia(ms) MédiaValorTotalSoluções MédiaEnergiaTotalSoluções
10 0,00 2112,20 876,00
11 0,00 2206,00 873,80
12 0,00 2300,00 899,80
13 0,00 2395,70 935,20
14 0,00 2589,10 921,80
15 0,00 2589,10 921,80
16 0,10 2649,20 918,00
17 0,00 2688,00 921,80
18 0,00 2730,00 915,80
19 0,00 2871,50 954,10
20 0,10 3021,30 963,80
21 0,10 3050,50 959,20
22 0,00 3052,40 960,50
23 0,20 3052,40 960,50
24 0,10 3132,60 950,40
25 0,20 3229,70 945,10
26 0,20 3319,30 936,70
27 0,20 3358,40 953,90
28 0,10 3392,60 938,40
29 0,00 3506,70 949,20
30 0,10 3569,80 947,00
31 0,10 3613,90 954,70
32 0,10 3613,90 954,70
33 0,10 3640,30 966,00
34 0,10 3683,50 961,20
35 0,20 3781,00 962,20
36 0,20 3866,80 970,00
37 0,10 3946,50 966,90
38 0,20 3973,30 965,10
39 0,20 4047,00 970,80
40 0,30 4209,80 970,80
41 0,40 4260,10 967,70
42 0,40 4370,30 971,60
43 0,50 4384,20 966,50
44 0,50 4455,60 967,10
45 0,50 4455,60 967,10
46 0,80 4587,80 960,20
47 0,70 4588,80 964,60
48 0,90 4738,60 975,70
49 0,90 4792,20 970,70
50 1,00 4803,00 968,80
51 1,10 4848,30 970,40
52 1,30 4919,00 981,60
53 1,40 4927,10 974,40
54 1,30 4927,10 974,40
55 1,60 4983,70 973,60
56 1,70 4990,50 974,10
57 2,20 5038,20 974,70
58 2,30 5309,20 973,40
59 2,40 5393,20 975,70
60 2,50 5394,30 975,80
61 2,80 5420,10 973,30
62 3,00 5452,10 974,10
63 3,30 5461,10 974,70
64 3,50 5471,70 971,00
65 4,30 5508,50 971,90
66 4,80 5508,50 971,90
67 5,10 5622,60 981,70
68 5,80 5628,30 983,30
69 6,70 5687,10 980,90
70 6,90 5751,80 982,50
71 7,20 5795,70 984,50
72 8,20 5819,10 987,10
73 9,60 5913,30 987,70
74 18,80 6005,00 984,70
75 12,00 6083,90 983,00
76 15,80 6128,30 983,30
77 13,40 6128,30 983,30
78 16,20 6267,50 980,90
79 16,80 6312,60 980,30
80 21,60 6312,60 980,30
81 21,50 6312,60 980,30
82 24,60 6312,60 980,30
83 25,90 6312,60 980,30
84 27,30 6424,80 979,40
85 28,10 6495,70 982,70
86 30,90 6571,20 985,90
87 33,90 6667,00 984,20
88 37,90 6697,00 981,30
89 41,80 6858,70 985,50
90 49,00 7040,00 987,10
91 53,70 7062,60 987,20
92 66,40 7185,70 987,30
93 65,20 7262,50 987,40
94 70,10 7262,50 987,40
95 76,30 7295,80 987,30
96 81,90 7363,00 984,10
97 91,80 7443,40 983,60
98 103,10 7495,80 983,90
99 112,70 7534,30 982,30
100 121,50 7575,10 983,80
101 131,30 7628,00 986,80
102 154,80 7736,50 987,00
103 170,80 7830,60 985,00
104 184,60 7845,60 987,10
105 196,90 7900,10 987,20
106 234,10 7977,90 982,50
107 266,40 8067,70 983,00
108 275,20 8067,70 983,00
109 306,10 8106,30 986,10
110 328,20 8106,30 986,10
111 378,70 8127,70 989,60
112 395,50 8127,70 989,60
113 427,70 8172,20 989,80
114 468,20 8177,30 990,50
115 500,40 8177,30 990,50
116 561,10 8177,30 990,50
117 610,90 8236,60 987,30
118 622,70 8236,60 987,30
119 674,40 8296,00 984,90
120 745,70 8468,70 987,00
121 839,40 8578,80 987,70
122 896,20 8672,30 987,60
123 1040,10 8783,20 987,20
124 1093,40 8802,90 990,20
125 1294,10 8889,90 987,60
126 1358,30 8889,90 987,60
127 1490,10 9025,80 990,20
128 1604,10 9072,20 990,90
129 1818,70 9097,20 991,20
130 2074,00 9097,20 991,20
