Tamanho DuraçãoMédia(ms) MédiadoValorTotaldasSoluções MédiadaEnergiaTotaldasSoluções
10 0,60 2112,20 876,00
11 0,20 2206,00 873,80
12 0,30 2300,00 899,80
13 0,10 2395,70 935,20
14 0,30 2589,10 921,80
15 0,30 2589,10 921,80
16 0,40 2649,20 918,00
17 0,20 2688,00 921,80
18 0,30 2730,00 915,80
19 0,00 2871,50 954,10
20 0,00 3021,30 963,80
21 0,00 3050,50 959,20
22 0,00 3052,40 960,50
23 0,00 3052,40 960,50
24 0,00 3132,60 950,40
25 0,00 3229,70 945,10
26 0,00 3319,30 936,70
27 0,00 3358,40 953,90
28 0,00 3392,60 938,40
29 0,00 3506,70 949,20
30 0,00 3569,80 947,00
31 0,00 3613,90 954,70
32 0,00 3613,90 954,70
33 0,00 3640,30 966,00
34 0,20 3683,50 961,20
35 0,00 3781,00 962,20
36 0,10 3866,80 970,00
37 0,00 3946,50 966,90
38 0,10 3973,30 965,10
39 0,10 4047,00 970,80
40 0,10 4209,80 970,80
41 0,00 4260,10 967,70
42 0,00 4370,30 971,60
43 0,10 4384,20 966,50
44 0,00 4455,60 967,10
45 0,10 4455,60 967,10
46 0,10 4587,80 960,20
47 0,10 4588,80 964,60
48 0,00 4738,60 975,70
49 0,00 4792,20 970,70
50 0,00 4803,00 968,80
51 0,00 4848,30 970,40
52 0,20 4919,00 981,60
53 0,00 4927,10 974,40
54 0,00 4927,10 974,40
55 0,00 4983,70 973,60
56 0,00 4990,50 974,10
57 0,00 5038,20 974,70
58 0,10 5309,20 973,40
59 0,20 5393,20 975,70
60 0,10 5394,30 975,80
61 0,10 5420,10 973,30
62 0,00 5452,10 974,10
63 0,00 5461,10 974,70
64 0,20 5471,70 971,00
65 0,00 5508,50 971,90
66 0,00 5508,50 971,90
67 0,20 5622,60 981,70
68 0,10 5628,30 983,30
69 0,00 5687,10 980,90
70 0,00 5751,80 982,50
71 0,10 5795,70 984,50
72 0,00 5819,10 987,10
73 0,00 5913,30 987,70
74 0,20 6005,00 984,70
75 0,00 6083,90 983,00
76 0,00 6128,30 983,30
77 0,00 6128,30 983,30
78 0,00 6267,50 980,90
79 0,10 6312,60 980,30
80 0,00 6312,60 980,30
81 0,10 6312,60 980,30
